case,completeTime,event,b0,b1,b2,b3,b4,b5,b6
0,506,0000100,0,0,0,0,1,0,0
0,743,0001000,0,0,0,1,0,0,0
1,499,0000100,0,0,0,0,1,0,0
1,729,0001000,0,0,0,1,0,0,0
2,935,0000100,0,0,0,0,1,0,0
2,1276,0001000,0,0,0,1,0,0,0
3,1239,0000100,0,0,0,0,1,0,0
3,1531,0001000,0,0,0,1,0,0,0
4,1749,0000100,0,0,0,0,1,0,0
4,1965,0001000,0,0,0,1,0,0,0
5,1850,0000100,0,0,0,0,1,0,0
5,2156,0001000,0,0,0,1,0,0,0
6,2085,0000100,0,0,0,0,1,0,0
6,2611,0001000,0,0,0,1,0,0,0
7,2093,0000100,0,0,0,0,1,0,0
7,2311,0001000,0,0,0,1,0,0,0
8,2692,0000100,0,0,0,0,1,0,0
8,2910,0001000,0,0,0,1,0,0,0
9,3313,0000100,0,0,0,0,1,0,0
9,3805,0001000,0,0,0,1,0,0,0
10,2841,0000100,0,0,0,0,1,0,0
10,3018,0001000,0,0,0,1,0,0,0
11,3438,0000100,0,0,0,0,1,0,0
11,3784,0001000,0,0,0,1,0,0,0
12,3594,0000100,0,0,0,0,1,0,0
12,3848,0001000,0,0,0,1,0,0,0
13,4009,0000100,0,0,0,0,1,0,0
13,4096,0001000,0,0,0,1,0,0,0
14,3698,0000100,0,0,0,0,1,0,0
14,3967,0001000,0,0,0,1,0,0,0
15,4104,0000100,0,0,0,0,1,0,0
15,4163,0001000,0,0,0,1,0,0,0
16,4833,0000100,0,0,0,0,1,0,0
16,5040,0001000,0,0,0,1,0,0,0
17,4914,0000100,0,0,0,0,1,0,0
17,5117,0001000,0,0,0,1,0,0,0
18,5527,0000100,0,0,0,0,1,0,0
18,5670,0001000,0,0,0,1,0,0,0
19,5471,0000100,0,0,0,0,1,0,0
19,5917,0001000,0,0,0,1,0,0,0
20,6280,0000100,0,0,0,0,1,0,0
20,6313,0001000,0,0,0,1,0,0,0
21,6251,0000100,0,0,0,0,1,0,0
21,6812,0001000,0,0,0,1,0,0,0
22,6300,0000100,0,0,0,0,1,0,0
22,6451,0001000,0,0,0,1,0,0,0
23,6946,0000100,0,0,0,0,1,0,0
23,7282,0001000,0,0,0,1,0,0,0
24,7156,0000100,0,0,0,0,1,0,0
24,7261,0001000,0,0,0,1,0,0,0
25,7518,0000100,0,0,0,0,1,0,0
25,7661,0001000,0,0,0,1,0,0,0
26,7857,0000100,0,0,0,0,1,0,0
26,7986,0001000,0,0,0,1,0,0,0
27,7894,0000100,0,0,0,0,1,0,0
27,8219,0001000,0,0,0,1,0,0,0
28,8186,0000100,0,0,0,0,1,0,0
28,8691,0001000,0,0,0,1,0,0,0
29,8419,0000100,0,0,0,0,1,0,0
29,8511,0001000,0,0,0,1,0,0,0
30,8868,0000100,0,0,0,0,1,0,0
30,9035,0001000,0,0,0,1,0,0,0
31,8932,0000100,0,0,0,0,1,0,0
31,9370,0001000,0,0,0,1,0,0,0
32,9703,0000100,0,0,0,0,1,0,0
32,10274,0001000,0,0,0,1,0,0,0
33,9586,0000100,0,0,0,0,1,0,0
33,9730,0001000,0,0,0,1,0,0,0
34,9879,0000100,0,0,0,0,1,0,0
34,10207,0001000,0,0,0,1,0,0,0
