case,completeTime,b0,b1,b2,b3,b4,b5,b6
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,194817850,0,0,0,0,0,1,0
0,194818763,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,25899054,0,0,0,0,0,1,0
1,25910162,0,0,0,0,0,1,0
1,178035567,0,0,0,0,0,1,0
1,190060422,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,37387003,0,0,0,0,0,1,0
2,178035671,0,0,0,0,0,1,0
2,189882179,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,41815932,0,0,0,0,0,1,0
3,178035677,0,0,0,0,0,1,0
3,189880271,0,0,0,0,0,1,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,48375083,0,0,0,0,0,1,0
4,145736599,0,0,0,0,0,0,1
4,178216471,0,0,0,0,0,1,0
4,188595653,0,0,0,0,0,1,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,73188549,0,0,0,0,0,1,0
5,86313295,0,0,0,0,0,1,0
5,177925088,0,0,0,0,0,1,0
5,177925093,0,0,0,0,0,1,0
5,190051430,0,0,0,0,0,1,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,75582756,0,0,0,0,0,1,0
6,145736223,0,0,0,0,0,0,1
6,178038749,0,0,0,0,0,1,0
6,188777916,0,0,0,0,0,1,0
7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
7,89574830,0,0,0,0,0,1,0
7,190926402,0,0,0,0,0,1,0
7,190927343,0,0,0,0,0,1,0
7,192409354,0,0,0,0,0,0,1
7,192410375,0,0,0,0,0,1,0
7,192410401,0,0,0,0,0,0,1
7,192410428,0,0,0,0,0,1,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,89579482,0,0,0,0,0,1,0
8,184291665,0,0,0,0,0,1,0
8,189887252,0,0,0,0,0,1,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,108925090,0,0,0,0,0,1,0
9,195942054,0,0,0,0,0,1,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,112982109,0,0,0,0,0,1,0
10,112982730,0,0,0,0,0,0,1
10,137187971,0,0,0,0,0,0,1
10,139691450,0,0,0,0,0,1,0
10,186267078,0,0,0,0,0,0,1
10,192312698,0,0,0,0,0,1,0
11,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
