case,completeTime,b0,b1,b2,b3,b4,b5,b6
0,0,0,0,0,0,0,0,1
0,481,0,0,0,0,0,1,0
0,808,0,0,1,0,0,0,0
0,1131,0,1,0,0,0,0,0
1,120,0,0,0,0,0,0,1
1,485,0,0,0,0,0,1,0
1,974,0,0,1,0,0,0,0
1,1316,0,1,0,0,0,0,0
2,460,0,0,0,0,0,0,1
2,879,0,0,0,0,0,1,0
2,1792,0,0,1,0,0,0,0
2,2161,0,1,0,0,0,0,0
3,714,0,0,0,0,0,0,1
3,905,0,0,0,0,0,1,0
3,2089,0,0,1,0,0,0,0
3,2565,0,1,0,0,0,0,0
4,1241,0,0,0,0,0,0,1
4,1446,0,0,0,0,0,1,0
4,2251,0,0,1,0,0,0,0
4,2411,0,1,0,0,0,0,0
5,1526,0,0,0,0,0,0,1
5,1707,0,0,0,0,0,1,0
5,2184,0,0,1,0,0,0,0
5,2227,0,1,0,0,0,0,0
6,1625,0,0,0,0,0,0,1
6,2049,0,0,0,0,0,1,0
6,2793,1,0,0,0,0,0,0
6,3367,0,1,0,0,0,0,0
7,1824,0,0,0,0,0,0,1
7,1975,0,0,0,0,0,1,0
7,2587,1,0,0,0,0,0,0
7,3003,0,1,0,0,0,0,0
8,2361,0,0,0,0,0,0,1
8,2604,0,0,0,0,0,1,0
8,3196,1,0,0,0,0,0,0
8,3347,0,1,0,0,0,0,0
9,2367,0,0,0,0,0,0,1
9,2716,0,0,0,0,0,1,0
9,4190,1,0,0,0,0,0,0
9,4517,0,1,0,0,0,0,0
10,2490,0,0,0,0,0,0,1
10,2708,0,0,0,0,0,1,0
10,3481,1,0,0,0,0,0,0
10,3611,0,1,0,0,0,0,0
11,2584,0,0,0,0,0,0,1
11,3150,0,0,0,0,0,1,0
11,4315,1,0,0,0,0,0,0
11,4573,0,1,0,0,0,0,0
12,2783,0,0,0,0,0,0,1
12,3085,0,0,0,0,0,1,0
12,4166,1,0,0,0,0,0,0
12,4330,0,1,0,0,0,0,0
13,3252,0,0,0,0,0,0,1
13,3555,0,0,0,0,0,1,0
13,4345,1,0,0,0,0,0,0
13,4474,0,1,0,0,0,0,0
14,3445,0,0,0,0,0,0,1
14,3455,0,0,0,0,0,1,0
14,4205,1,0,0,0,0,0,0
14,4327,0,1,0,0,0,0,0
15,3695,0,0,0,0,0,0,1
15,3955,0,0,0,0,0,1,0
15,4682,1,0,0,0,0,0,0
15,5136,0,1,0,0,0,0,0
16,4169,0,0,0,0,0,0,1
