case,completeTime,b0,b1,b2,b3,b4,b5,b6
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,122769290,0,0,1,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,122769289,0,0,1,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,122769291,0,0,1,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,122769290,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,122769292,0,0,1,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
6,122769292,0,0,1,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,122769293,0,0,1,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,180510646,0,0,1,0,0,0,0
11,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
11,115930088,0,1,0,0,0,0,0
12,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
12,117139008,0,0,1,0,0,0,0
12,134068842,0,0,1,0,0,0,0
12,200855557,0,0,1,0,0,0,0
13,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
13,121472276,0,1,0,0,0,0,0
17,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
17,122769295,0,0,1,0,0,0,0
18,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
18,119573848,0,0,1,0,0,0,0
18,119642864,0,1,0,0,0,0,0
18,130542996,0,0,1,0,0,0,0
18,185473905,0,0,1,0,0,0,0
19,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
19,119641987,0,0,1,0,0,0,0
19,139470141,0,0,1,0,0,0,0
19,185054757,0,0,1,0,0,0,0
