case,completeTime,b0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,17000000000,1
1,0,1
1,1000000000,1
1,3000000000,1
1,6000000000,1
1,7000000000,1
1,14000000000,1
1,15000000000,1
1,16000000000,1
1,17000000000,1
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,6000000000,1
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,2000000000,1
3,18000000000,1
4,2000000000,1
4,3000000000,1
4,4000000000,1
4,8000000000,1
4,9000000000,1
4,16000000000,1
4,17000000000,1
4,18000000000,1
4,18000000000,1
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,8000000000,1
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,4000000000,1
6,20000000000,1
7,4000000000,1
7,5000000000,1
7,7000000000,1
7,11000000000,1
7,12000000000,1
7,17000000000,1
7,18000000000,1
7,20000000000,1
7,20000000000,1
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,11000000000,1
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,6000000000,1
9,23000000000,1
10,0,0
10,8000000000,1
10,9000000000,1
10,11000000000,1
10,14000000000,1
10,15000000000,1
10,21000000000,1
10,22000000000,1
10,23000000000,1
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,25000000000,1
12,11000000000,1
12,12000000000,1
12,14000000000,1
12,16000000000,1
12,17000000000,1
12,23000000000,1
12,24000000000,1
12,25000000000,1
12,25000000000,1
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,16000000000,1
