case,completeTime,b0,b1,b2,b3,b4,b5,b6,b7,b8
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,2523523,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,894034,0,0,1,0,0,0,0,0,0
1,2669062,0,0,1,0,0,0,0,0,0
1,3139551,0,0,1,0,0,0,0,0,0
1,5730643,0,0,0,1,0,0,0,0,0
1,7645038,0,0,0,1,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
2,1707079,0,0,1,0,0,0,0,0,0
2,4794777,1,0,0,0,0,0,0,0,0
2,6467750,0,0,1,0,0,0,0,0,0
2,6854212,0,1,0,0,0,0,0,0,0
2,6960028,0,0,0,1,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
3,2061211,1,0,0,0,0,0,0,0,0
3,4306706,0,0,0,1,0,0,0,0,0
3,6095664,0,0,0,1,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
4,2522696,0,0,0,1,0,0,0,0,0
4,3260376,0,1,0,0,0,0,0,0,0
4,5200479,0,0,0,1,0,0,0,0,0
4,7417027,1,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
5,587649,0,0,0,1,0,0,0,0,0
5,723361,1,0,0,0,0,0,0,0,0
5,1183756,0,1,0,0,0,0,0,0,0
5,3334236,0,0,1,0,0,0,0,0,0
5,5559304,0,0,1,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
6,7030742,0,1,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0
7,604105,0,1,0,0,0,0,0,0,0
7,1172863,0,0,1,0,0,0,0,0,0
7,1690694,0,1,0,0,0,0,0,0,0
7,3987003,0,1,0,0,0,0,0,0,0
7,5543752,0,0,1,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
8,2230988,0,0,1,0,0,0,0,0,0
8,2767691,0,0,1,0,0,0,0,0,0
8,2956685,1,0,0,0,0,0,0,0,0
8,3965922,1,0,0,0,0,0,0,0,0
8,4460641,0,0,0,1,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
9,1558771,0,1,0,0,0,0,0,0,0
9,1833264,0,1,0,0,0,0,0,0,0
9,4540156,1,0,0,0,0,0,0,0,0
9,5723867,0,1,0,0,0,0,0,0,0
9,6006012,0,0,1,0,0,0,0,0,0
9,6559238,0,1,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
10,2619027,1,0,0,0,0,0,0,0,0
10,6402041,0,0,0,1,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0
11,2041559,0,0,1,0,0,0,0,0,0
11,2086154,1,0,0,0,0,0,0,0,0
11,3789196,0,1,0,0,0,0,0,0,0
11,5092325,1,0,0,0,0,0,0,0,0
11,5104506,0,0,0,1,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0
12,487982,1,0,0,0,0,0,0,0,0
12,3705187,1,0,0,0,0,0,0,0,0
12,3880772,1,0,0,0,0,0,0,0,0
12,5662503,0,1,0,0,0,0,0,0,0
12,5913251,0,1,0,0,0,0,0,0,0
12,5915691,0,0,0,1,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0
13,920798,0,0,1,0,0,0,0,0,0
13,1442003,1,0,0,0,0,0,0,0,0
13,2722446,1,0,0,0,0,0,0,0,0
13,2936273,0,1,0,0,0,0,0,0,0
13,3491040,1,0,0,0,0,0,0,0,0
13,4071128,1,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0
14,500167,0,0,1,0,0,0,0,0,0
14,529211,1,0,0,0,0,0,0,0,0
14,2130139,0,1,0,0,0,0,0,0,0
14,2805146,0,0,0,1,0,0,0,0,0
14,3577500,0,0,1,0,0,0,0,0,0
14,4739486,0,0,1,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,427108,0,0,0,1,0,0,0,0,0
15,824505,0,1,0,0,0,0,0,0,0
15,1080500,1,0,0,0,0,0,0,0,0
15,3679661,0,1,0,0,0,0,0,0,0
15,4773764,0,1,0,0,0,0,0,0,0
15,5013304,0,1,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,189342,0,0,1,0,0,0,0,0,0
16,4642977,0,0,0,1,0,0,0,0,0
16,4863284,0,0,0,1,0,0,0,0,0
16,6389806,0,0,1,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,494979,0,1,0,0,0,0,0,0,0
17,1788962,0,1,0,0,0,0,0,0,0
17,6216637,0,1,0,0,0,0,0,0,0
17,6571559,0,0,0,1,0,0,0,0,0
17,7393728,0,0,1,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0
18,1526450,0,0,0,1,0,0,0,0,0
18,3518912,0,1,0,0,0,0,0,0,0
18,5227090,0,0,1,0,0,0,0,0,0
18,7264498,0,0,1,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0
19,2492599,0,0,0,1,0,0,0,0,0
19,7483819,1,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
20,1208366,0,0,0,1,0,0,0,0,0
20,2775426,1,0,0,0,0,0,0,0,0
20,5611364,0,0,1,0,0,0,0,0,0
20,6744640,0,0,0,1,0,0,0,0,0
20,7431446,1,0,0,0,0,0,0,0,0
20,7700410,0,0,1,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0
21,376214,1,0,0,0,0,0,0,0,0
21,1551958,0,0,0,1,0,0,0,0,0
21,1918185,0,0,0,1,0,0,0,0,0
21,4795799,0,0,0,1,0,0,0,0,0
21,7108650,0,1,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0
22,3306671,0,1,0,0,0,0,0,0,0
22,3327579,0,0,1,0,0,0,0,0,0
22,3711398,0,0,1,0,0,0,0,0,0
22,5618173,1,0,0,0,0,0,0,0,0
22,6163102,0,1,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0
23,1270367,0,0,0,1,0,0,0,0,0
23,2463915,0,1,0,0,0,0,0,0,0
23,7791337,0,0,1,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0
24,5598115,0,0,0,1,0,0,0,0,0
24,6961593,0,1,0,0,0,0,0,0,0
24,7645127,0,0,0,1,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
25,1570448,1,0,0,0,0,0,0,0,0
25,2567759,0,0,0,1,0,0,0,0,0
25,2833551,1,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0
26,1611096,0,1,0,0,0,0,0,0,0
26,2230031,0,0,0,1,0,0,0,0,0
26,2777639,1,0,0,0,0,0,0,0,0
26,2968369,0,0,0,1,0,0,0,0,0
26,3373757,0,0,0,1,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0
27,3598287,0,0,0,1,0,0,0,0,0
27,4278836,0,1,0,0,0,0,0,0,0
27,4796012,1,0,0,0,0,0,0,0,0
27,4966678,1,0,0,0,0,0,0,0,0
27,6171391,0,0,0,1,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0
28,1624944,1,0,0,0,0,0,0,0,0
28,4175043,1,0,0,0,0,0,0,0,0
28,4311933,0,0,1,0,0,0,0,0,0
28,5983484,1,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0
29,335357,0,0,1,0,0,0,0,0,0
29,347673,0,0,0,1,0,0,0,0,0
29,4741472,0,0,1,0,0,0,0,0,0
29,7517504,0,0,1,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
30,1741262,0,0,0,1,0,0,0,0,0
30,1829237,0,1,0,0,0,0,0,0,0
30,2327889,0,0,1,0,0,0,0,0,0
30,4581185,1,0,0,0,0,0,0,0,0
30,7320011,0,0,1,0,0,0,0,0,0
30,7885296,0,0,0,1,0,0,0,0,0
30,7897025,0,0,1,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0
31,342151,1,0,0,0,0,0,0,0,0
31,829347,1,0,0,0,0,0,0,0,0
31,3027745,0,1,0,0,0,0,0,0,0
31,4161261,0,1,0,0,0,0,0,0,0
31,7258119,0,0,0,1,0,0,0,0,0
31,7643202,1,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0
32,257303,0,0,1,0,0,0,0,0,0
32,3017192,0,0,0,1,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0
33,385019,0,0,1,0,0,0,0,0,0
33,2514899,1,0,0,0,0,0,0,0,0
33,3648432,1,0,0,0,0,0,0,0,0
33,6517266,0,1,0,0,0,0,0,0,0
