concept:name,concept:endpoint,id:id,lifecycle:transition,time:timestamp,case:concept:name,concept:instance,data_received
"""order""",http://cpee.org/~demo/corr/mesg.php,a4,start,2016-12-15 15:58:34+01:00,Instance 207,,
"""order""",,a4,unknown,2016-12-15 15:58:34+01:00,Instance 207,http://cpee.org/~demo/corr/mesg.php,
"""order""",http://cpee.org/~demo/corr/mesg.php,a4,complete,2016-12-15 15:58:34+01:00,Instance 207,,
"""delivery of product""",http://cpee.org/~demo/corr/corr.php,a5,start,2016-12-15 15:58:47+01:00,Instance 207,,
"""delivery of product""",,a5,unknown,2016-12-15 15:58:51+01:00,Instance 207,http://cpee.org/~demo/corr/corr.php,"{'value': None, 'children': {'result': '<?xml version=""1.0""?>\n<product_delivery>\n    <id>m15_1</id>\n    <status>good</status>\n    <delivery_date>2017-01-10</delivery_date>\n    <address>Tunis</address>\n</product_delivery>\n'}}"
"""delivery of product""",http://cpee.org/~demo/corr/corr.php,a5,complete,2016-12-15 15:58:51+01:00,Instance 207,,
"""order""",http://cpee.org/~demo/corr/corr.php,a24,start,2016-12-15 15:58:34+01:00,Instance 208,,
"""order""",http://cpee.org/~demo/corr/corr.php,a24,complete,2016-12-15 15:58:34+01:00,Instance 208,,
"""order""",,a24,unknown,2016-12-15 15:58:34+01:00,Instance 208,http://cpee.org/~demo/corr/corr.php,"{'value': None, 'children': {'result': '<?xml version=""1.0""?>\n<order>\n    <id>m1_1</id>\n    <item1>\n        <type>clothes</type>\n        <quantity>4220</quantity>\n        <delivery_deadline>2017-01-10</delivery_deadline>\n    </item1>\n    <item2>\n        <type>food</type>\n        <quantity>1750</quantity>\n        <delivery_deadline>2017-01-10</delivery_deadline>\n    </item2>\n    <date>2016-12-15</date>\n    <address>Wien</address>\n</order>\n'}}"
"""process order""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a0,start,2016-12-15 15:58:34+01:00,Instance 208,,
"""process order""",,a0,unknown,2016-12-15 15:58:35+01:00,Instance 208,http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,"{'value': None, 'children': {'result': 'Timeout: 1'}}"
"""process order""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a0,complete,2016-12-15 15:58:35+01:00,Instance 208,,
"""calculate demand intermediate B""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a10,start,2016-12-15 15:58:36+01:00,Instance 208,,
"""calculate demand intermediate B""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a10,complete,2016-12-15 15:58:37+01:00,Instance 208,,
"""order intermediate B""",http://cpee.org/~demo/corr/mesg.php,a14,start,2016-12-15 15:58:37+01:00,Instance 208,,
"""calculate demand intermediate B""",,a10,unknown,2016-12-15 15:58:37+01:00,Instance 208,http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,"{'value': None, 'children': {'result': 'Timeout: 1'}}"
"""order intermediate B""",,a14,unknown,2016-12-15 15:58:37+01:00,Instance 208,http://cpee.org/~demo/corr/mesg.php,
"""order intermediate B""",http://cpee.org/~demo/corr/mesg.php,a14,complete,2016-12-15 15:58:37+01:00,Instance 208,,
"""arrival intermediate B""",http://cpee.org/~demo/corr/corr.php,a15,start,2016-12-15 15:58:37+01:00,Instance 208,,
