case,event,completeTime
0,a9,2013-06-12 03:26:49
0,a9,2013-05-16 18:56:00
0,a4,2013-06-15 10:48:48
0,a1,2013-06-08 20:00:45
0,a8,2013-06-02 19:09:13
0,a2,2013-04-18 18:47:12
0,a9,2013-07-09 04:23:28
0,a4,2013-04-18 18:46:35
0,a1,2013-05-08 17:57:55
0,a6,2013-05-15 15:07:16
1,a5,2013-05-22 18:14:24
1,a2,2013-04-27 10:34:47
1,a5,2013-04-26 18:29:07
1,a6,2013-06-21 17:59:16
1,a6,2013-07-13 21:45:51
1,a2,2013-05-09 11:53:18
1,a1,2013-06-07 22:18:03
1,a5,2013-05-17 07:32:55
1,a4,2013-06-25 04:57:26
1,a8,2013-04-24 01:37:43
2,a6,2013-07-05 23:29:01
2,a5,2013-05-06 04:19:52
2,a7,2013-07-04 18:05:25
2,a5,2013-06-30 06:44:23
2,a9,2013-04-28 15:57:06
2,a2,2013-04-18 07:48:29
2,a1,2013-04-17 20:23:22
2,a3,2013-06-10 22:01:30
2,a9,2013-05-07 17:46:59
2,a2,2013-06-25 13:48:07
3,a1,2013-07-04 22:38:02
3,a4,2013-07-07 18:54:29
3,a1,2013-07-01 13:17:32
3,a3,2013-05-10 06:42:04
3,a8,2013-07-01 02:30:33
3,a6,2013-06-25 23:22:57
3,a1,2013-04-23 20:18:09
3,a6,2013-06-05 06:26:59
3,a1,2013-06-12 20:59:32
3,a2,2013-05-10 20:28:40
4,a1,2013-07-14 09:32:46
4,a1,2013-05-14 03:27:18
4,a6,2013-05-15 14:53:29
4,a4,2013-05-17 12:03:48
4,a7,2013-05-24 03:48:09
4,a8,2013-06-22 06:50:14
4,a6,2013-06-15 14:43:12
4,a1,2013-04-23 10:54:03
4,a3,2013-07-11 06:25:40
4,a8,2013-06-09 21:29:39
5,a7,2013-04-30 02:57:49
5,a9,2013-07-03 12:59:27
5,a5,2013-06-19 18:23:37
5,a6,2013-04-23 05:22:42
5,a3,2013-04-24 19:04:34
5,a8,2013-07-04 14:14:30
5,a1,2013-05-13 07:46:17
5,a2,2013-06-29 21:41:02
5,a1,2013-05-18 20:53:45
5,a5,2013-05-25 00:19:09
6,a7,2013-07-06 19:07:35
6,a8,2013-04-22 10:46:55
6,a1,2013-07-05 12:56:33
6,a9,2013-07-11 15:14:34
6,a9,2013-05-07 04:29:36
6,a4,2013-07-06 03:18:57
6,a4,2013-05-05 14:02:15
6,a1,2013-06-02 18:32:32
6,a1,2013-06-13 05:19:09
6,a1,2013-05-13 06:33:41
7,a2,2013-04-29 10:03:33
7,a7,2013-06-01 13:38:36
7,a9,2013-06-23 19:21:19
7,a8,2013-05-03 18:47:47
7,a4,2013-06-16 16:16:11
7,a5,2013-06-19 14:04:25
7,a5,2013-04-29 23:56:16
7,a4,2013-04-22 12:55:13
7,a7,2013-04-23 09:56:58
7,a7,2013-05-05 23:46:47
8,a6,2013-06-07 01:12:34
8,a5,2013-05-18 10:56:44
8,a5,2013-05-12 05:51:41
8,a3,2013-06-01 07:47:15
8,a4,2013-04-25 07:40:26
8,a4,2013-06-10 15:09:30
8,a9,2013-06-12 01:38:20
8,a9,2013-06-09 19:45:44
8,a3,2013-05-20 15:26:38
8,a9,2013-05-14 21:40:54
9,a8,2013-04-22 06:40:42
9,a2,2013-05-03 23:49:07
9,a7,2013-06-21 16:06:20
9,a5,2013-06-24 22:28:45
9,a7,2013-07-01 08:09:11
9,a3,2013-06-07 23:17:49
9,a7,2013-05-04 11:08:04
9,a9,2013-04-27 03:29:42
9,a7,2013-05-07 15:22:57
9,a9,2013-06-22 03:02:11
