case,completeTime,b0,b1,b2,b3,b4,b5,b6,b7,b8
0,4900696,0,0,0,0,0,0,0,0,1
0,2623647,0,0,0,0,0,0,0,0,1
0,5186415,0,0,0,0,0,0,0,1,0
0,4614732,0,0,0,0,0,0,1,0,0
0,4093240,0,0,0,0,0,1,0,0,0
0,203919,0,0,0,0,1,0,0,0,0
0,7236895,0,0,0,0,0,0,0,0,1
0,203882,0,0,0,0,0,0,0,1,0
0,1928962,0,0,0,0,0,0,1,0,0
0,2523523,0,0,0,1,0,0,0,0,0
1,3139551,0,0,1,0,0,0,0,0,0
1,951974,0,0,0,0,1,0,0,0,0
1,894034,0,0,1,0,0,0,0,0,0
1,5730643,0,0,0,1,0,0,0,0,0
1,7645038,0,0,0,1,0,0,0,0,0
1,1993485,0,0,0,0,1,0,0,0,0
1,4536570,0,0,0,0,0,0,1,0,0
1,2669062,0,0,1,0,0,0,0,0,0
1,6029333,0,0,0,0,0,0,0,1,0
1,660550,0,0,0,0,0,1,0,0,0
2,6960028,0,0,0,1,0,0,0,0,0
2,1707079,0,0,1,0,0,0,0,0,0
2,6854212,0,1,0,0,0,0,0,0,0
2,6467750,0,0,1,0,0,0,0,0,0
2,1057713,0,0,0,0,0,0,0,0,1
2,164396,0,0,0,0,1,0,0,0,0
2,123289,0,0,0,0,0,0,1,0,0
2,4794777,1,0,0,0,0,0,0,0,0
2,1841906,0,0,0,0,0,0,0,0,1
2,6061174,0,0,0,0,1,0,0,0,0
3,6870569,0,0,0,0,0,0,1,0,0
3,7116356,0,0,0,0,0,0,0,1,0
3,6577739,0,0,0,0,0,0,1,0,0
3,2061211,1,0,0,0,0,0,0,0,0
3,6538920,0,0,0,0,0,1,0,0,0
3,6095664,0,0,0,1,0,0,0,0,0
3,641376,0,0,0,0,0,0,1,0,0
3,4306706,0,0,0,1,0,0,0,0,0
3,4963859,0,0,0,0,0,0,1,0,0
3,2110807,0,0,0,0,1,0,0,0,0
4,7687453,0,0,0,0,0,0,1,0,0
4,2395125,0,0,0,0,0,0,1,0,0
4,2522696,0,0,0,1,0,0,0,0,0
4,2685315,0,0,0,0,0,0,0,1,0
4,3260376,0,1,0,0,0,0,0,0,0
4,5776901,0,0,0,0,0,1,0,0,0
4,5200479,0,0,0,1,0,0,0,0,0
4,607530,0,0,0,0,0,0,1,0,0
4,7417027,1,0,0,0,0,0,0,0,0
4,4706466,0,0,0,0,0,1,0,0,0
5,1183756,0,1,0,0,0,0,0,0,0
5,6749454,0,0,0,0,0,0,0,0,1
5,5559304,0,0,1,0,0,0,0,0,0
5,587649,0,0,0,1,0,0,0,0,0
5,723361,1,0,0,0,0,0,0,0,0
5,6840357,0,0,0,0,0,1,0,0,0
5,2324264,0,0,0,0,0,0,1,0,0
5,6435149,0,0,0,0,1,0,0,0,0
5,2803512,0,0,0,0,0,0,1,0,0
5,3334236,0,0,1,0,0,0,0,0,0
6,7030742,0,1,0,0,0,0,0,0,0
6,520702,0,0,0,0,0,1,0,0,0
6,6922080,0,0,0,0,0,0,1,0,0
6,7448761,0,0,0,0,0,0,0,0,1
6,1794063,0,0,0,0,0,0,0,0,1
