Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_BPI_2013_3_columns_1;2;1;23541811;1
per_chunk_sort_BPI_2013_3_columns_1;3;1;193021070;1
reshaping_BPI_2013_3_columns_1;4;1;1513451;2
shifting_and_subtraction_BPI_2013_3_columns_1;5;1;23933664;1
boolean_comparison_BPI_2013_3_columns_1;6;1;170118;1
transpose_BPI_2013_3_columns_1;7;1;2107059;1
transpose_BPI_2013_3_columns_1;8;1;14419656;2
outerProduct_BPI_2013_3_columns_1;9;1;4871952;1
matrixMultiplication_BPI_2013_3_columns_1;10;1;2230893;1
colSums_BPI_2013_3_columns_1;11;1;9154926;1
colSums_BPI_2013_3_columns_1;12;1;9502636;2
combine_BPI_2013_3_columns_1;13;1;1977;1
full_run_BPI_2013_3_columns_1;1;0;285761842;1
preprocessing_BPI_2013_3_columns_10;2;1;23650108;1
per_chunk_sort_BPI_2013_3_columns_9;3;1;182464352;1
reshaping_BPI_2013_3_columns_9;4;1;1730939;2
shifting_and_subtraction_BPI_2013_3_columns_9;5;1;27765426;1
boolean_comparison_BPI_2013_3_columns_9;6;1;190168;1
transpose_BPI_2013_3_columns_9;7;1;2325874;1
transpose_BPI_2013_3_columns_9;8;1;16169086;2
outerProduct_BPI_2013_3_columns_9;9;1;5780694;1
matrixMultiplication_BPI_2013_3_columns_9;10;1;2535210;1
colSums_BPI_2013_3_columns_9;11;1;10513480;1
colSums_BPI_2013_3_columns_9;12;1;10294336;2
combine_BPI_2013_3_columns_9;13;1;2079;1
full_run_BPI_2013_3_columns_10;1;0;284331028;1
preprocessing_BPI_2013_3_columns_100;2;1;23717051;1
per_chunk_sort_BPI_2013_3_columns_99;3;1;112054574;1
reshaping_BPI_2013_3_columns_99;4;1;1579394;2
shifting_and_subtraction_BPI_2013_3_columns_99;5;1;24727566;1
boolean_comparison_BPI_2013_3_columns_99;6;1;174272;1
transpose_BPI_2013_3_columns_99;7;1;2098382;1
transpose_BPI_2013_3_columns_99;8;1;14274673;2
outerProduct_BPI_2013_3_columns_99;9;1;5293729;1
matrixMultiplication_BPI_2013_3_columns_99;10;1;2170323;1
colSums_BPI_2013_3_columns_99;11;1;9916128;1
colSums_BPI_2013_3_columns_99;12;1;9430336;2
combine_BPI_2013_3_columns_99;13;1;2042;1
full_run_BPI_2013_3_columns_100;1;0;206073548;1
