Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_BPI_2013_3_columns_1;2;1;23454551;1
per_chunk_sort_BPI_2013_3_columns_1;3;1;215472543;1
reshaping_BPI_2013_3_columns_1;4;1;1537244;2
shifting_and_subtraction_BPI_2013_3_columns_1;5;1;24184261;1
boolean_comparison_BPI_2013_3_columns_1;6;1;170044;1
transpose_BPI_2013_3_columns_1;7;1;2051401;1
transpose_BPI_2013_3_columns_1;8;1;13915080;2
outerProduct_BPI_2013_3_columns_1;9;1;5499514;1
matrixMultiplication_BPI_2013_3_columns_1;10;1;2584732;1
colSums_BPI_2013_3_columns_1;11;1;8973951;1
colSums_BPI_2013_3_columns_1;12;1;9309305;2
combine_BPI_2013_3_columns_1;13;1;1972;1
full_run_BPI_2013_3_columns_1;1;0;308264754;1
