Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_cases_100000_100;2;1;643851287;1
per_chunk_sort_cases_100000_100;3;1;4751720404;1
reshaping_cases_100000_100;4;1;35268182;2
shifting_and_subtraction_cases_100000_100;5;1;700456973;1
boolean_comparison_cases_100000_100;6;1;3958831;1
transpose_cases_100000_100;7;1;45095251;1
transpose_cases_100000_100;8;1;390870033;2
outerProduct_cases_100000_100;9;1;250065917;1
matrixMultiplication_cases_100000_100;10;1;91235545;1
colSums_cases_100000_100;11;1;250455883;1
colSums_cases_100000_100;12;1;249768671;2
combine_cases_100000_100;13;1;2899;1
full_run_cases_100000_100;1;0;7465846693;1
