Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_BPI_2013_3_columns_1;2;1;23306999;1
per_chunk_sort_BPI_2013_3_columns_1;3;1;213003472;1
reshaping_BPI_2013_3_columns_1;4;1;1563803;2
shifting_and_subtraction_BPI_2013_3_columns_1;5;1;24439514;1
boolean_comparison_BPI_2013_3_columns_1;6;1;171560;1
transpose_BPI_2013_3_columns_1;7;1;2094354;1
transpose_BPI_2013_3_columns_1;8;1;14434439;2
outerProduct_BPI_2013_3_columns_1;9;1;4633598;1
matrixMultiplication_BPI_2013_3_columns_1;10;1;2539200;1
colSums_BPI_2013_3_columns_1;11;1;8968371;1
colSums_BPI_2013_3_columns_1;12;1;8984373;2
combine_BPI_2013_3_columns_1;13;1;2065;1
full_run_BPI_2013_3_columns_1;1;0;304696787;1
