server,dataset,chunks,sent,received
server2,bpi,1,45.18363135949116,52.632180111250804
server2,bpi,100,40.99123600400749,83.16050613264434
server2,bpi,1000,32.42825239476239,68.93867592002029
server2,traffic,1,326.78741101354575,343.1350799769906
server2,traffic,100,225.53956436018836,237.1495092367383
server2,traffic,1000,164.48936293002936,212.0105996054917
server2,traffic,70000,68.36363497519382,134.64876590530463
server3,bpi,1,26.172632246925676,85.72969890718811
server3,bpi,100,29.16619924372775,100.89378209797901
server3,bpi,1000,24.877245906448643,78.94543485957719
server3,traffic,1,190.02729620154386,541.236859060519
server3,traffic,100,132.10266341220682,375.1452476014347
server3,traffic,1000,95.4756652836396,306.23348749078775
server3,traffic,70000,48.6781729685331,164.15506220787515
