server,dataset,chunks,type,data
server1,bpi,1,received,81.2314234
server1,bpi,10,received,71.025546
server1,bpi,100,received,62.37559504
server1,bpi,1000,received,51.90616234
server1,creditReq,10,received,24.82662507
server1,creditReq,100,received,18.43919175
server1,creditReq,1000,received,16.65384622
server1,creditReq,10000,received,8.173202084
server1,traffic,1,received,356.5830333
server1,traffic,10,received,181.0349077
server1,traffic,100,received,255.577753
server1,traffic,1000,received,197.4291553
server1,traffic,10000,received,143.8771771
server2,bpi,1,received,208.7022471
server2,bpi,10,received,180.6558794
server2,bpi,100,received,180.7616633
server2,bpi,1000,received,163.4248794
server2,creditReq,1,received,51.62857372
server2,creditReq,10,received,42.17644848
server2,creditReq,100,received,34.86873987
server2,creditReq,1000,received,32.99393885
server2,creditReq,10000,received,19.49930162
server2,traffic,1,received,686.3456962
server2,traffic,10,received,294.6572288
server2,traffic,100,received,492.0000166
server2,traffic,1000,received,429.1059071
server2,traffic,10000,received,297.6831315
server3,bpi,1,received,274.9581242
server3,bpi,10,received,218.6326774
server3,bpi,100,received,208.065596
server3,bpi,1000,received,177.9334468
server3,creditReq,1,received,79.33517077
server3,creditReq,10,received,62.89989037
server3,creditReq,100,received,50.28265665
server3,creditReq,1000,received,44.69327489
server3,creditReq,10000,received,22.57677332
server3,traffic,1,received,1084.441166
server3,traffic,10,received,494.0310437
server3,traffic,100,received,753.6162807
server3,traffic,1000,received,605.8041201
server3,traffic,10000,received,421.9770059
server1,bpi,1,sent,358.3294763
server1,bpi,10,sent,297.8378525
server1,bpi,100,sent,303.3380196
server1,bpi,1000,sent,275.3771648
server1,creditReq,10,sent,66.96555795
server1,creditReq,100,sent,56.66465106
server1,creditReq,1000,sent,53.3760195
server1,creditReq,10000,sent,31.6930346
server1,traffic,1,sent,1100.728195
server1,traffic,10,sent,469.5241939
server1,traffic,100,sent,803.0136126
server1,traffic,1000,sent,695.7463695
server1,traffic,10000,sent,490.9535512
server2,bpi,1,sent,120.5219957
server2,bpi,10,sent,96.47268734
server2,bpi,100,sent,81.18956865
server2,bpi,1000,sent,62.30033129
server2,creditReq,1,sent,47.56233714
server2,creditReq,10,sent,37.1581286
server2,creditReq,100,sent,27.56946007
server2,creditReq,1000,sent,23.4125284
server2,creditReq,10000,sent,9.555844875
server2,traffic,1,sent,655.7707557
server2,traffic,10,sent,315.8223665
server2,traffic,100,sent,433.4609114
server2,traffic,1000,sent,330.9497454
server2,traffic,10000,sent,222.9589802
server3,bpi,1,sent,80.44621948
server3,bpi,10,sent,71.11413844
server3,bpi,100,sent,62.26648468
server3,bpi,1000,sent,51.34964911
server3,creditReq,1,sent,29.3489913
server3,creditReq,10,sent,24.62732414
server3,creditReq,100,sent,18.32203152
server3,creditReq,1000,sent,16.51138132
server3,creditReq,10000,sent,8.13875636
server3,traffic,1,sent,355.3324166
server3,traffic,10,sent,178.8525995
server3,traffic,100,sent,253.243531
server3,traffic,1000,sent,195.9525886
server3,traffic,10000,sent,142.0957449
