dataset,var_value,chunks,step,duration
preprocessing,run,1,,286158
sort,run,1,per_chunk,70194
reshaping,run,1,,707
subtraction,run,1,shifting_and,3831
comparison,run,1,boolean,1114
transpose,run,1,,1165
transpose,run,1,,1621
outerProduct,run,1,,1100
matrixMultiplication,run,1,,637
colSums,run,1,,1165
colSums,run,1,,1155
combine,run,1,,1449
run,run,1,full,371437
preprocessing,run,1,,281584
sort,run,1,per_chunk,70625
reshaping,run,1,,670
subtraction,run,1,shifting_and,3408
comparison,run,1,boolean,1195
transpose,run,1,,1318
transpose,run,1,,1900
outerProduct,run,1,,1117
matrixMultiplication,run,1,,577
colSums,run,1,,1173
colSums,run,1,,1183
combine,run,1,,1447
run,run,1,full,367676
preprocessing,run,1,,287101
sort,run,1,per_chunk,67962
reshaping,run,1,,734
subtraction,run,1,shifting_and,3769
comparison,run,1,boolean,1189
transpose,run,1,,1184
transpose,run,1,,1640
outerProduct,run,1,,1412
matrixMultiplication,run,1,,578
colSums,run,1,,1196
colSums,run,1,,1210
combine,run,1,,1517
run,run,1,full,370666
preprocessing,run,1,,283564
sort,run,1,per_chunk,66265
reshaping,run,1,,634
subtraction,run,1,shifting_and,3455
comparison,run,1,boolean,1193
transpose,run,1,,1321
transpose,run,1,,1924
outerProduct,run,1,,1120
matrixMultiplication,run,1,,554
colSums,run,1,,1159
colSums,run,1,,1162
combine,run,1,,1467
run,run,1,full,364888
preprocessing,run,1,,287159
sort,run,1,per_chunk,60305
reshaping,run,1,,696
subtraction,run,1,shifting_and,3784
comparison,run,1,boolean,1160
transpose,run,1,,1157
transpose,run,1,,1642
outerProduct,run,1,,1014
matrixMultiplication,run,1,,731
colSums,run,1,,1152
colSums,run,1,,1182
combine,run,1,,1430
run,run,1,full,362518
preprocessing,run,1,,283261
sort,run,1,per_chunk,61451
reshaping,run,1,,725
subtraction,run,1,shifting_and,3598
comparison,run,1,boolean,1132
transpose,run,1,,1194
transpose,run,1,,1629
outerProduct,run,1,,1153
matrixMultiplication,run,1,,594
colSums,run,1,,1225
colSums,run,1,,1224
combine,run,1,,1807
run,run,1,full,360318
preprocessing,run,1,,285976
sort,run,1,per_chunk,65367
reshaping,run,1,,636
subtraction,run,1,shifting_and,3418
comparison,run,1,boolean,1154
transpose,run,1,,1306
transpose,run,1,,1947
outerProduct,run,1,,927
matrixMultiplication,run,1,,725
colSums,run,1,,1206
colSums,run,1,,1173
combine,run,1,,1446
run,run,1,full,367337
preprocessing,run,1,,284691
sort,run,1,per_chunk,65262
reshaping,run,1,,626
subtraction,run,1,shifting_and,3385
comparison,run,1,boolean,1217
transpose,run,1,,1313
transpose,run,1,,1906
outerProduct,run,1,,926
matrixMultiplication,run,1,,562
colSums,run,1,,1178
colSums,run,1,,1151
combine,run,1,,1425
run,run,1,full,365005
preprocessing,run,1,,291355
sort,run,1,per_chunk,72483
reshaping,run,1,,748
subtraction,run,1,shifting_and,3728
comparison,run,1,boolean,1196
transpose,run,1,,1439
transpose,run,1,,2029
outerProduct,run,1,,1069
matrixMultiplication,run,1,,579
colSums,run,1,,1215
colSums,run,1,,1205
combine,run,1,,1496
run,run,1,full,379744
preprocessing,run,1,,280538
sort,run,1,per_chunk,59836
reshaping,run,1,,679
subtraction,run,1,shifting_and,3392
comparison,run,1,boolean,1129
transpose,run,1,,1292
transpose,run,1,,1871
outerProduct,run,1,,1086
matrixMultiplication,run,1,,572
colSums,run,1,,1171
colSums,run,1,,1148
combine,run,1,,1411
run,run,1,full,355615
preprocessing,run,1,,286732
sort,run,1,per_chunk,74766
reshaping,run,1,,718
subtraction,run,1,shifting_and,3835
comparison,run,1,boolean,1174
transpose,run,1,,1439
transpose,run,1,,1777
outerProduct,run,1,,1200
matrixMultiplication,run,1,,610
colSums,run,1,,1171
colSums,run,1,,1174
combine,run,1,,1463
run,run,1,full,377215
preprocessing,run,1,,280263
sort,run,1,per_chunk,66637
reshaping,run,1,,842
subtraction,run,1,shifting_and,3561
comparison,run,1,boolean,1108
transpose,run,1,,1435
transpose,run,1,,2010
outerProduct,run,1,,1057
matrixMultiplication,run,1,,535
colSums,run,1,,1485
colSums,run,1,,1482
combine,run,1,,1778
run,run,1,full,363622
preprocessing,run,1,,287180
sort,run,1,per_chunk,61719
reshaping,run,1,,790
subtraction,run,1,shifting_and,3559
comparison,run,1,boolean,1205
transpose,run,1,,1465
transpose,run,1,,1902
outerProduct,run,1,,1337
matrixMultiplication,run,1,,549
colSums,run,1,,1344
colSums,run,1,,1321
combine,run,1,,1591
run,run,1,full,365289
preprocessing,run,1,,281998
sort,run,1,per_chunk,59028
reshaping,run,1,,604
subtraction,run,1,shifting_and,3044
comparison,run,1,boolean,1055
transpose,run,1,,1329
transpose,run,1,,1970
outerProduct,run,1,,1078
matrixMultiplication,run,1,,595
colSums,run,1,,1442
colSums,run,1,,1479
combine,run,1,,1733
run,run,1,full,357325
preprocessing,run,1,,284113
sort,run,1,per_chunk,67528
reshaping,run,1,,869
subtraction,run,1,shifting_and,4435
comparison,run,1,boolean,1201
transpose,run,1,,1335
transpose,run,1,,1907
outerProduct,run,1,,1222
matrixMultiplication,run,1,,582
colSums,run,1,,1397
colSums,run,1,,1393
combine,run,1,,1717
run,run,1,full,368938
preprocessing,run,1,,280817
sort,run,1,per_chunk,61475
reshaping,run,1,,638
subtraction,run,1,shifting_and,3419
comparison,run,1,boolean,1122
transpose,run,1,,1321
transpose,run,1,,1892
outerProduct,run,1,,1015
matrixMultiplication,run,1,,580
colSums,run,1,,1171
colSums,run,1,,1159
combine,run,1,,1412
run,run,1,full,357161
preprocessing,run,1,,282123
sort,run,1,per_chunk,75897
reshaping,run,1,,643
subtraction,run,1,shifting_and,3533
comparison,run,1,boolean,1112
transpose,run,1,,1181
transpose,run,1,,1642
outerProduct,run,1,,1291
matrixMultiplication,run,1,,674
colSums,run,1,,1185
colSums,run,1,,1167
combine,run,1,,1475
run,run,1,full,373090
preprocessing,run,1,,280467
sort,run,1,per_chunk,64840
