Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;286158;1
per_chunk_sort_run_1;3;1;70194;1
reshaping_run_1;4;1;707;2
shifting_and_subtraction_run_1;5;1;3831;1
boolean_comparison_run_1;6;1;1114;1
transpose_run_1;7;1;1165;1
transpose_run_1;8;1;1621;2
outerProduct_run_1;9;1;1100;1
matrixMultiplication_run_1;10;1;637;1
colSums_run_1;11;1;1165;1
colSums_run_1;12;1;1155;2
combine_run_1;13;1;1449;1
full_run_run_1;1;0;371437;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;281584;1
per_chunk_sort_run_1;3;1;70625;1
reshaping_run_1;4;1;670;2
shifting_and_subtraction_run_1;5;1;3408;1
boolean_comparison_run_1;6;1;1195;1
transpose_run_1;7;1;1318;1
transpose_run_1;8;1;1900;2
outerProduct_run_1;9;1;1117;1
matrixMultiplication_run_1;10;1;577;1
colSums_run_1;11;1;1173;1
colSums_run_1;12;1;1183;2
combine_run_1;13;1;1447;1
full_run_run_1;1;0;367676;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;287101;1
per_chunk_sort_run_1;3;1;67962;1
reshaping_run_1;4;1;734;2
shifting_and_subtraction_run_1;5;1;3769;1
boolean_comparison_run_1;6;1;1189;1
transpose_run_1;7;1;1184;1
transpose_run_1;8;1;1640;2
outerProduct_run_1;9;1;1412;1
matrixMultiplication_run_1;10;1;578;1
colSums_run_1;11;1;1196;1
colSums_run_1;12;1;1210;2
combine_run_1;13;1;1517;1
full_run_run_1;1;0;370666;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;283564;1
per_chunk_sort_run_1;3;1;66265;1
reshaping_run_1;4;1;634;2
shifting_and_subtraction_run_1;5;1;3455;1
boolean_comparison_run_1;6;1;1193;1
transpose_run_1;7;1;1321;1
transpose_run_1;8;1;1924;2
outerProduct_run_1;9;1;1120;1
matrixMultiplication_run_1;10;1;554;1
colSums_run_1;11;1;1159;1
colSums_run_1;12;1;1162;2
combine_run_1;13;1;1467;1
full_run_run_1;1;0;364888;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;287159;1
per_chunk_sort_run_1;3;1;60305;1
reshaping_run_1;4;1;696;2
shifting_and_subtraction_run_1;5;1;3784;1
boolean_comparison_run_1;6;1;1160;1
transpose_run_1;7;1;1157;1
transpose_run_1;8;1;1642;2
outerProduct_run_1;9;1;1014;1
matrixMultiplication_run_1;10;1;731;1
colSums_run_1;11;1;1152;1
colSums_run_1;12;1;1182;2
combine_run_1;13;1;1430;1
full_run_run_1;1;0;362518;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;283261;1
per_chunk_sort_run_1;3;1;61451;1
reshaping_run_1;4;1;725;2
shifting_and_subtraction_run_1;5;1;3598;1
boolean_comparison_run_1;6;1;1132;1
transpose_run_1;7;1;1194;1
transpose_run_1;8;1;1629;2
outerProduct_run_1;9;1;1153;1
matrixMultiplication_run_1;10;1;594;1
colSums_run_1;11;1;1225;1
colSums_run_1;12;1;1224;2
combine_run_1;13;1;1807;1
full_run_run_1;1;0;360318;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;285976;1
per_chunk_sort_run_1;3;1;65367;1
reshaping_run_1;4;1;636;2
shifting_and_subtraction_run_1;5;1;3418;1
boolean_comparison_run_1;6;1;1154;1
transpose_run_1;7;1;1306;1
transpose_run_1;8;1;1947;2
outerProduct_run_1;9;1;927;1
matrixMultiplication_run_1;10;1;725;1
colSums_run_1;11;1;1206;1
colSums_run_1;12;1;1173;2
combine_run_1;13;1;1446;1
full_run_run_1;1;0;367337;1
Action;SectionID;ParentSectionID;Duration;Complexity
preprocessing_run_1;2;1;284691;1
per_chunk_sort_run_1;3;1;65262;1
reshaping_run_1;4;1;626;2
shifting_and_subtraction_run_1;5;1;3385;1
boolean_comparison_run_1;6;1;1217;1
transpose_run_1;7;1;1313;1
transpose_run_1;8;1;1906;2
outerProduct_run_1;9;1;926;1
matrixMultiplication_run_1;10;1;562;1
colSums_run_1;11;1;1178;1
colSums_run_1;12;1;1151;2
combine_run_1;13;1;1425;1
