dataset,chunks,type,time
bpi,1,Combine Results,48.03820445
bpi,10,Combine Results,47.99139862
bpi,100,Combine Results,48.58593735
bpi,1000,Combine Results,47.9164344
credit,1,Combine Results,4.251745917
credit,10,Combine Results,4.25322625
credit,100,Combine Results,4.2397598
credit,1000,Combine Results,4.272501467
credit,10000,Combine Results,4.3918389
traffic,1,Combine Results,66.68720433
traffic,10,Combine Results,66.19011822
traffic,100,Combine Results,66.62081312
traffic,1000,Combine Results,66.6212496
traffic,10000,Combine Results,66.59481948
bpi,1,Parallel Sort,19.95004963
bpi,10,Parallel Sort,15.99636647
bpi,100,Parallel Sort,13.09862583
bpi,1000,Parallel Sort,9.974067967
credit,1,Parallel Sort,9.135603517
credit,10,Parallel Sort,7.326129233
credit,100,Parallel Sort,5.541653583
credit,1000,Parallel Sort,3.771122767
credit,10000,Parallel Sort,2.1544994
traffic,1,Parallel Sort,116.2787355
traffic,10,Parallel Sort,98.03203415
traffic,100,Parallel Sort,79.42951598
traffic,1000,Parallel Sort,60.54146272
traffic,10000,Parallel Sort,41.98243595
